Country Name,Country Code,Series Name,Series Code,1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Lebanon,LBN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,7507.5871770593,10764.1842373398,11904.4041024442,12495.4578262961,12884.1845870376,13229.1060350478,14386.6292663539,14348.5995397091,14733.2685750063,14443.6929430699,14275.598591901,14273.1834816194,14086.8831164516,13858.2987147469,14198.3442626729,14178.2177343088,14213.394017756,15512.0235044179,16928.0680888742,18472.9881871568,19382.2940752991,18614.7625715119,17935.1426854771,17439.4543198142,16879.1811387438,16252.1201190738,16058.3657607864,15953.6704227647,15561.6318938375,14493.3723724418
Lebanon,LBN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,2.00497175915223,2.40955608036417,2.28208598262819,3.18225184519777,3.31143437997578,3.76943633322837,3.91063912638759,4.40900114120147,4.40231172807251,4.54671347860403,4.07778339293437,4.23202311000328,4.02658409919837,3.9672972217553,3.9130059000968,3.67756535960129,3.40983569386614,3.15479447203088,3.91416531598864,4.55015194568454,4.21153464004333,4.07149379706118,4.23828274842884,3.93031234333176,4.01690062946835,4.13459653530944,4.14191772223152,4.29951546789187,4.05137016423681,4.07689427350833
Morocco,MAR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,265.171736571062,269.380518692722,273.561522520866,275.611914042501,274.686853182777,277.311330636013,278.779828223823,287.045520187928,305.92790396173,307.104100657459,316.941013658252,329.828352470751,336.476595632747,354.526305637129,345.923901215277,358.388373833676,364.485232757859,366.772147024201,385.223751440143,382.683354870473,401.040563891295,403.085171448491,396.891684499057,465.668694303036,487.403729821051,490.037182326366,499.592442096839,512.607950449771,509.960588600607,528.103985655923,561.424336508057,561.475581207788,555.937359162444,555.137700652292,..,..,..,..,..
Morocco,MAR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,3816.78662109375,4018.33227539063,3864.53466796875,3770.31274414063,4101.57568359375,3820.32958984375,4231.2626953125,4108.7763671875,4349.37939453125,4341.59423828125,4370.5625,4633.94140625,4721.6923828125,4944.1201171875,5120.54833984375,5227.279296875,5557.74755859375,5686.9189453125,5952.333984375,6128.78125,6281.12353515625,6522.02001953125,6625.10400390625,6827.8525390625,6911.80322265625,7126.2841796875,7105.85595703125,7312.056640625,7446.93603515625,7546.7548828125
Morocco,MAR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,0.866674747568887,0.91526632963594,0.967663772620794,0.978008047652773,1.04233775858562,1.06652322873886,1.04004342473445,1.07729994621067,1.08963048506486,1.1315912731681,1.14191757133303,1.24526532236836,1.27212018906629,1.25071836562235,1.36110692018962,1.4309373243586,1.46081656594553,1.48730873077918,1.54200775836676,1.52682098301151,1.60032723605957,1.70643150287107,1.74719270936499,1.70810606370497,1.71646537588045,1.74274991361003,1.71723308013894,1.78520956855919,1.80298755498571,1.95987228468546
Tunisia,TUN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,514.679071051063,492.218997940812,543.62138066911,560.021947327815,567.851134920234,545.957130851437,541.518969687691,555.902523408592,540.962016999307,600.173078367279,581.295635150645,632.456548200544,602.852522540528,639.06062456428,636.062309597388,654.672891397581,666.053511403102,717.194424062095,733.329505417697,752.539026468667,787.338464750817,791.554189479946,807.175201266289,844.392163138959,822.658319001367,857.910399069287,877.150384061531,905.178922504123,870.045776567068,966.760145158856,913.570744466141,944.421278782055,950.674471322746,950.491245973699,..,..,..,..,..
Tunisia,TUN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,5795.93137404747,5889.79748057118,6212.42979844362,6217.05573641198,6291.64235990921,6328.46790153777,6676.8546217548,6944.3848462977,7188.79070703427,7541.78669864955,7819.92274762641,8045.87306943127,8088.4073342363,8405.72508433751,8861.2847751154,9093.56766282106,9481.84946889433,10016.3936042538,10330.8919666176,10532.7770570876,10733.9977350434,10409.9439285063,10743.7581933898,10898.3662691002,11123.2018720555,11113.5539861838,11114.4748738352,11234.4984240293,11398.0278144177,11420.8497305607
Tunisia,TUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,1.76402597801228,1.78337277201507,1.87024276586964,1.86563473532203,1.83097165495306,1.83882350362724,1.86892995667039,1.90311586260908,1.96217358359143,2.04502232101296,2.13218583966972,2.2023879112694,2.19931365247791,2.16182909644995,2.2430029921577,2.27273215196322,2.34285906041256,2.40180988747982,2.42452175708212,2.40269269880023,2.58762261309107,2.45208657788772,2.56200044708495,2.54269424439662,2.70717462387127,2.72630886684891,2.61944024574362,2.62038409483418,2.58447684745771,2.55756420759521
Bahrain,BHR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,8295.06308136427,9070.95423536026,8502.95244557335,8832.99241466188,9921.70050640396,10261.5357642141,9523.73931190852,10493.5876766452,10248.5652104323,10555.3559294009,10108.4133379891,10837.8303975285,11142.3821175207,11555.4940955985,11408.539679048,11109.805222747,12181.2827456142,12406.8115047002,11851.6196939705,11988.7934277245,11738.129166368,11548.6750822972,11566.5448409417,10894.9889497569,11675.5511118959,11604.1403430427,11233.8636811195,11318.2170107972,10339.1996287155,10207.835024628,9912.69589790894,9659.61173652363,10419.815836761,10596.5662055891,..,..,..,..,..
Bahrain,BHR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,38601.0327316615,41770.6421477913,43430.2713411364,47819.4239458923,46538.7747226765,47157.2167609521,47825.8742542915,47957.0685646187,48717.1820404672,48988.570176162,49406.2910308378,48245.775482163,47311.7455106711,47476.9833537752,47661.3940699161,47493.1483991775,46910.1911420582,47000.3153341983,46408.8320829659,44759.3947196856,44599.804972084,44157.4796400241,45035.9785547932,46930.8307282373,48201.1571717366,48110.7341930587,47937.7090620549,47709.7780156397,46377.6504762037,45311.8683029627
